City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,delta,5.5,6.0,27.56,82,0,2.23,NG,1707778494
1,isafjordur,66.0755,-23.124,-0.5,81,100,10.05,IS,1707778552
2,bilibino,68.0546,166.4372,-36.87,98,93,1.0,RU,1707778552
3,petropavlovsk-kamchatsky,53.0452,158.6483,-18.08,81,0,4.0,RU,1707778553
4,strathalbyn,-35.2667,138.9,29.25,45,7,4.82,AU,1707778554
5,waitangi,-43.9535,-176.5597,17.12,83,81,3.13,NZ,1707778554
6,vallenar,-28.5708,-70.7581,26.19,47,2,2.83,CL,1707778555
7,verkhniy baskunchak,48.2256,46.7217,1.76,100,100,3.26,RU,1707778556
8,trenggalek,-8.05,111.7167,24.31,93,59,0.65,ID,1707778556
9,wailua homesteads,22.0669,-159.378,25.63,57,0,4.12,US,1707778033
10,brooks,50.5834,-111.8851,1.99,74,100,6.69,CA,1707778160
11,mata-utu,-13.2816,-176.1745,28.25,83,99,8.44,WF,1707778297
12,anadyr,64.75,177.4833,-28.72,75,20,2.0,RU,1707778157
13,avarua,-21.2078,-159.775,29.03,61,75,7.72,CK,1707778559
14,blackmans bay,-43.0167,147.3167,20.96,64,83,0.45,AU,1707778012
15,west island,-12.1568,96.8225,26.99,89,40,2.06,CC,1707778135
16,kodiak,57.79,-152.4072,4.73,87,100,6.17,US,1707778013
17,suva,-18.1416,178.4415,31.71,74,40,3.09,FJ,1707778562
18,vicuna mackenna,-33.9197,-64.3922,19.94,57,8,4.59,AR,1707778563
19,bac lieu,9.285,105.7244,24.89,75,23,5.77,VN,1707778563
20,prabumulih,-3.45,104.25,22.69,98,81,1.39,ID,1707778564
21,punta arenas,-53.15,-70.9167,12.06,58,100,8.75,CL,1707778459
22,campoverde,-8.4753,-74.8058,27.83,90,85,1.2,PE,1707778566
23,la sarre,48.8002,-79.1996,-11.03,93,92,1.97,CA,1707778567
24,port-aux-francais,-49.35,70.2167,7.29,91,69,13.35,TF,1707778027
25,iqaluit,63.7506,-68.5145,-26.84,68,75,5.66,CA,1707778018
26,whitehorse,60.7161,-135.0538,-0.5,65,75,4.63,CA,1707778569
27,talnakh,69.4865,88.3972,-34.34,86,15,1.42,RU,1707778569
28,alaghsas,17.0187,8.0168,23.09,9,0,5.05,NE,1707778570
29,grytviken,-54.2811,-36.5092,3.34,95,100,2.23,GS,1707778016
30,acarau,-2.8856,-40.12,28.14,83,72,9.44,BR,1707778571
31,adamstown,-25.066,-130.1015,24.8,89,100,7.6,PN,1707778005
32,otjimbingwe,-22.35,16.1333,27.29,52,100,1.46,NA,1707778572
33,hamilton,39.1834,-84.5333,9.29,54,0,3.6,US,1707778041
34,hell-ville,-13.4,48.2667,26.72,79,100,0.98,MG,1707778574
35,riberalta,-10.9833,-66.1,25.11,94,100,2.06,BO,1707778575
36,sisimiut,66.9395,-53.6735,-24.02,85,24,2.68,GL,1707778575
37,st. john's,47.5649,-52.7093,2.1,93,75,6.69,CA,1707778426
38,grand falls-windsor,48.9332,-55.6649,-2.2,94,98,1.49,CA,1707778577
39,vila franca do campo,37.7167,-25.4333,18.27,99,66,8.26,PT,1707778577
40,georgetown,5.4112,100.3354,26.96,74,20,3.6,MY,1707777741
41,papatowai,-46.5619,169.4708,18.25,49,100,1.48,NZ,1707778019
42,bubaque,11.2833,-15.8333,26.6,71,0,7.31,GW,1707778579
43,nantucket,41.2835,-70.0995,3.41,87,0,2.06,US,1707778434
44,horta,38.5333,-28.6333,16.68,88,100,9.83,PT,1707778581
45,novodvinsk,64.4165,40.8122,-25.68,100,60,1.24,RU,1707778581
46,kailua-kona,19.6406,-155.9956,26.98,67,0,4.12,US,1707778583
47,bossangoa,6.4926,17.4552,25.92,21,39,1.14,CF,1707778583
48,east london,-33.0153,27.9116,22.47,84,0,8.35,ZA,1707778584
49,hawaiian paradise park,19.5933,-154.9731,27.24,73,40,4.63,US,1707778022
50,mendoza,-32.8908,-68.8272,28.74,18,0,3.09,AR,1707778585
51,nechi,8.0942,-74.7757,29.72,72,75,0.38,CO,1707778586
52,salahonda,2.1019,-78.7217,27.17,87,83,4.59,CO,1707778587
53,invercargill,-46.4,168.35,20.57,57,100,4.02,NZ,1707778588
54,enewetak,11.3474,162.3373,26.36,78,99,9.75,MH,1707778588
55,olonkinbyen,70.9221,-8.7187,-1.28,85,100,7.19,SJ,1707778031
56,tazacorte,28.629,-17.9293,20.54,94,100,4.63,ES,1707778590
57,iquitos,-3.7481,-73.2472,30.02,74,20,1.03,PE,1707778590
58,puerto natales,-51.7236,-72.4875,11.13,68,100,2.51,CL,1707778003
59,tiksi,71.6872,128.8694,-32.9,100,100,0.71,RU,1707778148
60,bredasdorp,-34.5322,20.0403,19.37,93,23,2.7,ZA,1707778592
61,edinburgh of the seven seas,-37.0676,-12.3116,17.56,72,83,7.06,SH,1707778028
62,mount pearl,47.5166,-52.7813,1.64,94,75,6.69,CA,1707778594
63,bakanas,44.8081,76.2772,-4.67,66,24,4.05,KZ,1707778594
64,tangalle,6.024,80.7911,21.81,86,44,1.05,LK,1707778595
65,amroha,28.9167,78.4667,12.91,44,100,1.25,IN,1707778596
66,rio gallegos,-51.6226,-69.2181,16.03,39,0,7.2,AR,1707778596
67,hithadhoo,-0.6,73.0833,26.12,87,100,6.9,MV,1707778597
68,mandvi,22.8333,69.3667,19.09,29,78,4.79,IN,1707778597
69,lesnoy,57.6198,63.0784,-13.0,92,100,2.52,RU,1707778356
70,vilyuchinsk,52.9306,158.4028,-17.26,82,6,3.05,RU,1707778599
71,aasiaat,68.7098,-52.8699,-30.55,94,86,1.56,GL,1707778344
72,buchanan,5.8808,-10.0467,27.57,86,98,3.38,LR,1707778600
73,ancud,-41.8697,-73.8203,13.88,74,10,3.33,CL,1707778601
74,stanley,54.868,-1.6985,4.6,85,40,7.72,GB,1707778602
75,bayanhongor,46.7167,100.1167,-23.49,89,71,2.15,MN,1707778602
76,auchi,7.0667,6.2667,29.02,42,0,2.37,NG,1707778603
77,antsiranana,-12.2787,49.2917,25.11,87,56,3.86,MG,1707778604
78,klyuchi,52.2667,79.1667,-13.72,87,67,4.13,RU,1707778605
79,curitiba,-25.504,-49.2908,27.08,59,40,3.6,BR,1707778254
80,daru,-9.0763,143.2092,27.08,84,93,3.59,PG,1707778606
81,port mathurin,-19.6833,63.4167,27.26,85,60,8.93,MU,1707778037
82,hermanus,-34.4187,19.2345,21.0,90,75,1.71,ZA,1707778011
83,jamestown,42.097,-79.2353,2.51,71,0,2.06,US,1707778031
84,lagoa formosa,-18.7786,-46.4075,23.34,64,64,1.89,BR,1707778609
85,codrington,-38.2667,141.9667,22.19,46,77,4.3,AU,1707778610
86,bethel,41.3712,-73.414,5.17,70,0,1.54,US,1707778038
87,kayangel,8.0823,134.7173,27.2,81,98,11.73,PW,1707778612
88,nar'yan-mar,67.6713,53.087,-32.72,100,64,2.24,RU,1707778150
89,menongue,-14.6585,17.691,18.26,93,75,1.26,AO,1707778613
90,hailar,49.2,119.7,-12.06,95,99,4.18,CN,1707778614
91,uturoa,-16.7333,-151.4333,26.65,95,100,10.46,PF,1707778614
92,ilulissat,69.2167,-51.1,-31.21,70,90,0.46,GL,1707778615
93,qianzhou,28.3167,109.7167,13.3,72,100,0.95,CN,1707778515
94,cabo san lucas,22.8909,-109.9124,24.78,59,0,4.39,MX,1707778429
95,nova sintra,14.8667,-24.7167,20.42,81,79,3.92,CV,1707778617
96,la puebla de montalban,39.863,-4.3592,13.62,83,91,3.09,ES,1707778618
97,port shepstone,-30.7414,30.455,22.07,81,27,8.01,ZA,1707778618
98,college,64.8569,-147.8028,-3.22,79,75,0.0,US,1707778039
99,farkhar,36.5729,69.8578,6.6,39,100,3.0,AF,1707778619
100,kudahuvadhoo,2.6708,72.8944,26.44,79,100,4.66,MV,1707778620
101,ierapetra,35.01,25.7353,13.97,71,5,0.89,GR,1707778621
102,badger,64.8,-147.5333,-3.26,83,75,0.0,US,1707778621
103,puerto carreno,6.189,-67.4859,34.99,43,20,1.54,CO,1707778622
104,riyadh,24.6877,46.7219,13.08,68,27,2.81,SA,1707778548
105,coquimbo,-29.9533,-71.3436,19.85,77,20,5.66,CL,1707778623
106,ribeira grande,38.5167,-28.7,17.1,88,96,9.83,PT,1707778152
107,utrik,11.2278,169.8474,26.32,77,100,9.49,MH,1707778039
108,colonia,50.9333,6.95,6.09,84,75,1.54,DE,1707778360
109,albany,42.6001,-73.9662,3.23,67,100,0.45,US,1707778626
110,motueka,-41.1333,173.0167,21.17,58,6,2.68,NZ,1707778627
111,labrador city,52.9463,-66.9114,-11.05,80,100,1.54,CA,1707778576
112,thompson,55.7435,-97.8558,-7.91,79,100,3.6,CA,1707778628
113,belinskiy,52.9647,43.4165,1.04,100,100,3.6,RU,1707778629
114,kapuskasing,49.4169,-82.4331,-5.95,73,75,2.57,CA,1707778629
115,rapid valley,44.0625,-103.1463,7.09,57,100,3.58,US,1707778630
